city_index,bedrooms,bathrooms,sqft,lot_size,year_built,distance_to_center,school_rating,crime_rate,hoa_fee,price
0,1,2,1790.5326477762235,5040.262682843166,1984,8.915195006069322,6.015529822856271,38.97633727593023,100,681894.4230131619
3,1,1,1070.8479214183596,4903.369554022287,2020,4.072055328726627,5.813619625605034,43.80981508350908,0,784123.9327979451
3,4,3,1698.109778342956,4535.351577939518,1961,4.378839837879921,3.665796885346003,24.856334866690887,200,977943.720370057
2,4,3,1237.7949428425463,2603.4206858232865,1968,13.032851697144991,6.987031258841094,26.516466873766888,100,1115974.3653565727
2,4,2,1633.5578491463025,7996.628974629721,1986,2.010884611685163,7.76771810812302,54.793758689276736,100,1238674.2898006132
4,5,4,400.0,4092.9069984162807,1980,3.5148647830790947,7.485333219657316,37.8110424828403,50,593978.7205083697
0,3,3,1123.1980749338845,8565.195305531704,1975,5.779065273885292,6.549130700321868,48.94661943264788,50,476623.34003920475
3,5,1,2678.3558427086,5031.858413010145,2007,5.744430888535609,7.913238590431414,58.36062396924402,50,1180893.8494410508
1,4,4,2298.238649464525,6621.072327035112,1986,1.779916375411278,4.796981237975043,52.68614599665284,200,1072126.2236374547
0,2,1,2591.4236015491388,6394.274107409206,1976,4.315514038819209,9.227422387869524,19.45318227172038,100,830032.7359518227
2,5,3,2632.6327618025543,2939.313149122869,1985,4.399197685303174,5.341876840052475,38.25251796670185,200,1544822.8874772557
4,1,2,2203.7924544986863,5918.0073038812225,2015,3.1971881049898254,5.50848852623986,55.61247219768665,0,857510.9983443149
3,3,3,1528.278788772519,9820.832361167766,2022,2.177470216322777,5.637176356387977,47.84118347570683,200,998597.5519803822
3,5,4,1177.6494322406263,5629.0306327508915,1967,2.4911119905201917,5.527779927715352,42.75911865084242,0,953995.2513798216
3,4,3,2488.0467632698183,7253.191848899187,1952,1.9916608356814511,6.2109139152915676,15.406747749788472,0,1300774.5256120875
3,5,3,1838.7407846324343,6733.179611480463,1952,2.197028024659032,6.152832774416647,30.752214670609344,0,1184404.033350206
2,1,4,3296.413689829144,5767.624145912468,1982,4.951760564021373,6.694459976953873,41.03990843569774,200,1798323.439321139
0,3,3,1580.9412143935474,5466.196794311866,1996,12.59870978351532,5.271954290988139,18.611514718857578,100,601766.6198134442
4,4,4,2983.737512868288,6368.2888978032515,1953,5.796207133503939,6.749906534030248,51.90453554390731,200,1109653.1987935442
